label,gap,eps_point,eps_cons,tr_point,tr_cons,tpr,fpr,n_member,n_nonmember
ref_attack budget=128,0.12727793194353576,1.3860943411172235,0.0,1.7981271583061398,0.0,0.05,0.0125,320,320
ref_attack budget=256,0.04427172532305135,1.3846930797529169,0.0,1.7963093555489236,0.0,0.00625,0.0015625,640,640
neg_loss,-0.0024970004398640055,1.3734117352888768,0.0,1.781674498987395,0.0,0.00078125,0.0,2560,2560
logit_margin,0.0003877340233885418,1.3734117352888768,0.0,1.781674498987395,0.0,0.00078125,0.0,2560,2560
max_prob,0.0015232057427055912,1.3734117352888768,0.0,1.781674498987395,0.0,0.00078125,0.0,2560,2560
ref_attack budget=1024,0.007688692584633783,1.3734117352888768,0.0,1.781674498987395,0.0,0.00078125,0.0,2560,2560
ref_attack budget=512,-0.01587407956831166,0.6915458991929715,0.0,0.8971160372473946,0.0,0.00625,0.003125,1280,1280
LiRA K=8 budget=256,-0.2406911753971011,0.6867266127570226,0.0,0.890864161334568,0.0,0.0015625,0.0,640,640
LiRA K=8 budget=512,-0.2529265671575995,0.6802645547289315,0.0,0.8824811806858662,0.0,0.00078125,0.0,1280,1280
correct_logit,0.06270530997790047,0.6672137985334408,0.0,0.8655509339808481,0.0,0.000390625,0.0,2560,2560
LiRA K=8 budget=128,-0.20804134841121552,0.041463248156574796,0.0122389273295152,0.05378868549584449,0.01587709217685591,1.0,0.959375,320,320
