label,method,K,budget,gap,eps_point,tr_point,eps_cons,tr_cons,tpr,fpr,n_member
Gauss K=8 b=512,gaussian,8,512,-972.484695,6.198427,8.040982,4.048699,5.252222,0.192188,0.000000,1280
Gauss K=16 b=512,gaussian,16,512,5.165330,5.613035,7.281575,3.417517,4.433414,0.107031,0.000000,1280
Gauss K=8 b=256,gaussian,8,256,-1641.163294,5.552910,7.203578,3.363012,4.362707,0.201563,0.000000,640
Gauss K=8 b=128,gaussian,8,128,-3382.125055,4.927207,6.391878,2.686065,3.484529,0.215625,0.000000,320
Gauss K=16 b=256,gaussian,16,256,7.915975,4.836180,6.273792,2.566504,3.329428,0.098437,0.000000,640
Gauss K=32 b=512,gaussian,32,512,1.822219,4.700248,6.097451,2.404997,3.119911,0.042969,0.000000,1280
Gauss K=16 b=128,gaussian,16,128,13.682147,4.127031,5.353840,1.761850,2.285581,0.096875,0.000000,320
Gauss K=32 b=256,gaussian,32,256,1.826515,3.783899,4.908707,1.340501,1.738981,0.034375,0.000000,640
Gauss K=32 b=128,gaussian,32,128,1.586653,3.090752,4.009514,0.486235,0.630775,0.034375,0.000000,320
Gauss K=64 b=512,gaussian,64,512,1.689782,2.770987,3.594696,0.054630,0.070869,0.006250,0.000000,1280
Raw K=32 b=256,raw,32,256,-0.234947,0.071218,0.092388,0.046994,0.060964,1.000000,0.931250,640
Raw K=64 b=256,raw,64,256,-0.236700,0.075312,0.097699,0.044014,0.057098,0.990625,0.918750,640
Raw K=64 b=512,raw,64,512,-0.255233,0.057379,0.074436,0.039027,0.050628,0.994531,0.939063,1280
Raw K=64 b=128,raw,64,128,-0.200536,0.078462,0.101785,0.034914,0.045293,0.993750,0.918750,320
Raw K=32 b=512,raw,32,512,-0.256598,0.047407,0.061500,0.030613,0.039713,0.995313,0.949219,1280
Raw K=16 b=256,raw,16,256,-0.240349,0.057242,0.074258,0.024848,0.032235,0.982812,0.928125,640
Raw K=16 b=512,raw,16,512,-0.258667,0.035222,0.045692,0.018902,0.024521,0.992969,0.958594,1280
Raw K=8 b=256,raw,8,256,-0.241574,0.035307,0.045802,0.010393,0.013482,0.990625,0.956250,640
Raw K=32 b=128,raw,32,128,-0.204208,0.059610,0.077330,0.006400,0.008302,0.971875,0.915625,320
Gauss K=64 b=128,gaussian,64,128,1.566991,1.790692,2.322997,0.000000,0.000000,0.009375,0.000000,320
Gauss K=64 b=256,gaussian,64,256,1.768538,1.789624,2.321611,0.000000,0.000000,0.004687,0.000000,640
Raw K=8 b=512,raw,8,512,-0.255660,0.680265,0.882481,0.000000,0.000000,0.000781,0.000000,1280
Raw K=16 b=128,raw,16,128,-0.212778,0.028977,0.037591,0.000000,0.000000,0.984375,0.956250,320
Raw K=8 b=128,raw,8,128,-0.203624,0.018918,0.024542,0.000000,0.000000,1.000000,0.981250,320
